"date","prec","prec_var","flow_obs","flow_sim","pet","tmin","tmean","tmax","srad","vprp"
2000-05-16,1.002,0.417,,1.379,2.868,1.76,8.506,15.251,17.748,6.776
2000-05-17,0.881,0.365,,1.361,2.657,2.327,8.517,14.708,17.855,6.615
2000-05-18,1.036,0.501,,1.311,2.481,3.05,8.395,13.739,16.428,6.617
2000-05-19,0.386,0.077,,1.292,2.719,2.33,8.156,13.981,17.42,6.628
2000-05-20,0.732,0.277,,1.248,2.619,2.451,8.651,14.851,16.525,6.736
2000-05-21,2.99,0.732,,1.246,2.549,5.015,10.132,15.248,16.972,6.658
2000-05-22,0.03,0,,1.248,3.051,1.932,8.833,15.735,17.917,6.051
2000-05-23,0.275,0.035,,1.242,3.021,2.847,8.693,14.538,18.164,5.583
2000-05-24,0.572,0.155,,1.22,3.277,1.53,8.928,16.325,19.729,5.28
2000-05-25,0.004,0,,1.178,3.3,1.947,9.035,16.124,20.026,5.53
2000-05-26,0.009,0,,1.139,3.175,0.905,8.432,15.958,20.268,5.324
2000-05-27,0.008,0,,1.093,3.019,1.591,8.55,15.509,19.809,4.551
2000-05-28,0.011,0,,1.084,3.17,0.214,8.153,16.093,20.404,4.388
2000-05-29,0.027,0.001,,1.047,2.975,1.476,8.857,16.238,19.605,4.96
2000-05-30,0.033,0.001,,1.038,2.846,0.67,7.691,14.713,19.27,5.116
2000-05-31,0.023,0,,1.019,2.765,-0.178,7.182,14.543,18.912,5.156
2000-06-01,0.028,0.001,,1.007,2.678,1.714,7.603,13.491,16.182,6.1
2000-06-02,0.013,0,,0.995,2.877,0.976,7.078,13.181,16.18,6.264
2000-06-03,0.027,0.001,,0.981,2.919,-0.134,7.019,14.172,13.764,6.843
2000-06-04,0.072,0.005,,0.978,3.281,1.085,8.01,14.935,15.864,6.472
2000-06-05,0.032,0.001,,0.978,2.983,2.136,8.328,14.52,13.893,6.607
2000-06-06,0.04,0.002,,0.976,2.909,1.63,7.905,14.18,16.221,6.395
2000-06-07,0.045,0.002,,0.969,2.644,1.484,7.162,12.841,15.005,6.586
2000-06-08,0.146,0.02,,0.967,2.711,2.543,7.338,12.133,14.965,6.205
2000-06-09,0.039,0.002,,0.961,3.008,2.511,8.164,13.817,16.264,5.695
2000-06-10,0.046,0.002,,0.947,3.152,2.717,8.776,14.835,17.287,5.891
2000-06-11,0.023,0.001,,0.943,3.338,1.6,8.353,15.106,16.437,6.082
2000-06-12,0.053,0.003,,0.927,3.116,0.398,7.52,14.642,16.566,6.294
2000-06-13,0.02,0,,0.885,3.039,0.066,7.627,15.188,18.031,5.716
2000-06-14,0.009,0,,0.878,3.053,-0.645,7.219,15.082,18.475,5.024
